,date,State,Depression,Anxiety,Unemployment,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,retail,grocery,parks,transit,work,residential,week,sin_week,cos_week
0,2016-05-15,AL,-0.16927959233329448,-1.3219150415379144,-0.4723680463607352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.7765238627180424,-0.630087843581711
1,2016-05-22,AL,-0.22392845522318794,-0.6929409359685198,-0.527139426792038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.6965510290629972,-0.717507257044331
2,2016-05-29,AL,-0.2785773181130814,-0.6357614718258475,-0.4723680463607352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.6068001458185932,-0.7948544414133534
3,2016-06-05,AL,-1.6994477532503112,0.16475102617156367,-0.527139426792038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.5085311186492207,-0.8610436117673553
4,2016-06-12,AL,-1.0436613985715897,-1.2075561132525698,-0.4723680463607352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.4031234292879726,-0.9151456172430182
5,2016-06-19,AL,-0.715768221232229,-1.8937096829646365,-0.4723680463607352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.29205677063697594,-0.9564009842765224
6,2016-06-26,AL,-0.16927959233329448,0.33628941859958034,-0.4723680463607352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.17689027512257316,-0.9842305779475968
7,2016-07-03,AL,-1.2076079872412702,-0.978838256681881,-0.4723680463607352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.05924062789371414,-0.9982437317643215
8,2016-07-10,AL,0.5411556252353205,-0.06396683039912525,-0.41759666592943245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,-0.05924062789371389,-0.9982437317643215
9,2016-07-17,AL,-1.1529591243513766,-1.0360177208245531,-0.5819108072233407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,-0.1768902751225729,-0.9842305779475968
