,date,State,Depression,Anxiety,Unemployment,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,retail,grocery,parks,transit,work,residential,week,sin_week,cos_week
0,2016-05-15,AL,51,38,4,,,,,,,,,,,,,19,0.7765238627180424,-0.630087843581711
1,2016-05-22,AL,50,49,3,,,,,,,,,,,,,20,0.6965510290629972,-0.717507257044331
2,2016-05-29,AL,49,50,4,,,,,,,,,,,,,21,0.6068001458185932,-0.7948544414133534
3,2016-06-05,AL,23,64,3,,,,,,,,,,,,,22,0.5085311186492207,-0.8610436117673553
4,2016-06-12,AL,35,40,4,,,,,,,,,,,,,23,0.4031234292879726,-0.9151456172430182
5,2016-06-19,AL,41,28,4,,,,,,,,,,,,,24,0.29205677063697594,-0.9564009842765224
6,2016-06-26,AL,51,67,4,,,,,,,,,,,,,25,0.17689027512257316,-0.9842305779475968
7,2016-07-03,AL,32,44,4,,,,,,,,,,,,,26,0.05924062789371414,-0.9982437317643215
8,2016-07-10,AL,64,60,5,,,,,,,,,,,,,27,-0.05924062789371389,-0.9982437317643215
9,2016-07-17,AL,33,43,2,,,,,,,,,,,,,28,-0.1768902751225729,-0.9842305779475968
10,2016-07-24,AL,76,52,4,,,,,,,,,,,,,29,-0.29205677063697566,-0.9564009842765224
11,2016-07-31,AL,51,52,4,,,,,,,,,,,,,30,-0.403123429287972,-0.9151456172430186
12,2016-08-07,AL,50,49,6,,,,,,,,,,,,,31,-0.5085311186492202,-0.8610436117673557
13,2016-08-14,AL,63,70,3,,,,,,,,,,,,,32,-0.6068001458185934,-0.7948544414133533
14,2016-08-21,AL,52,41,4,,,,,,,,,,,,,33,-0.6965510290629969,-0.7175072570443312
15,2016-08-28,AL,70,55,4,,,,,,,,,,,,,34,-0.7765238627180426,-0.6300878435817109
16,2016-09-04,AL,61,60,3,,,,,,,,,,,,,35,-0.845596003501826,-0.533823377964791
17,2016-09-11,AL,55,57,3,,,,,,,,,,,,,36,-0.9027978299657435,-0.4300652022765204
18,2016-09-18,AL,82,42,3,,,,,,,,,,,,,37,-0.9473263538541913,-0.32026985386283807
19,2016-09-25,AL,55,58,3,,,,,,,,,,,,,38,-0.9785564922995039,-0.2059786187410985
20,2016-10-02,AL,57,70,4,,,,,,,,,,,,,39,-0.9960498426152169,-0.08879589532293546
21,2016-10-09,AL,50,75,3,,,,,,,,,,,,,40,-0.9995608365087943,0.02963332782255942
22,2016-10-16,AL,69,59,3,,,,,,,,,,,,,41,-0.9890401873221641,0.14764656400248038
23,2016-10-23,AL,69,54,1,,,,,,,,,,,,,42,-0.9646355819083585,0.263587166069068
24,2016-10-30,AL,65,55,3,,,,,,,,,,,,,43,-0.9266896074318335,0.375827582114238
25,2016-11-06,AL,44,48,3,,,,,,,,,,,,,44,-0.8757349421956372,0.48279220273074425
26,2016-11-13,AL,72,47,3,,,,,,,,,,,,,45,-0.8124868780056815,0.5829794791144718
27,2016-11-20,AL,39,26,3,,,,,,,,,,,,,46,-0.7378332790417279,0.6749830015182099
28,2016-11-27,AL,65,60,3,,,,,,,,,,,,,47,-0.6528221181905214,0.7575112421616202
29,2016-12-04,AL,72,63,3,,,,,,,,,,,,,48,-0.5586467658036526,0.8294056854502017
30,2016-12-11,AL,52,53,4,,,,,,,,,,,,,49,-0.45662923739371375,0.889657090994747
31,2016-12-18,AL,47,53,3,,,,,,,,,,,,,50,-0.34820163543439914,0.9374196611341208
32,2016-12-25,AL,33,54,3,,,,,,,,,,,,,51,-0.23488604578098374,0.9720229140804107
33,2017-01-01,AL,79,58,3,,,,,,,,,,,,,52,-0.11827317092136551,0.992981096013517
34,2017-01-08,AL,63,45,5,,,,,,,,,,,,,1,0.1182731709213658,0.9929810960135169
35,2017-01-15,AL,53,65,4,,,,,,,,,,,,,2,0.23488604578098368,0.9720229140804107
36,2017-01-22,AL,82,40,4,,,,,,,,,,,,,3,0.34820163543439875,0.9374196611341209
37,2017-01-29,AL,79,80,3,,,,,,,,,,,,,4,0.4566292373937131,0.8896570909947473
38,2017-02-05,AL,67,66,3,,,,,,,,,,,,,5,0.5586467658036525,0.8294056854502018
39,2017-02-12,AL,77,64,4,,,,,,,,,,,,,6,0.6528221181905216,0.7575112421616201
40,2017-02-19,AL,63,80,5,,,,,,,,,,,,,7,0.7378332790417272,0.6749830015182106
41,2017-02-26,AL,77,52,3,,,,,,,,,,,,,8,0.8124868780056813,0.5829794791144721
42,2017-03-05,AL,53,58,4,,,,,,,,,,,,,9,0.8757349421956369,0.48279220273074486
43,2017-03-12,AL,46,49,3,,,,,,,,,,,,,10,0.9266896074318334,0.3758275821142382
44,2017-03-19,AL,64,74,4,,,,,,,,,,,,,11,0.9646355819083586,0.2635871660690678
45,2017-03-26,AL,59,71,3,,,,,,,,,,,,,12,0.9890401873221639,0.14764656400248127
46,2017-04-02,AL,52,57,4,,,,,,,,,,,,,13,0.9995608365087943,0.029633327822559667
47,2017-04-09,AL,74,60,4,,,,,,,,,,,,,14,0.9960498426152169,-0.08879589532293478
48,2017-04-16,AL,100,38,3,,,,,,,,,,,,,15,0.978556492299504,-0.20597861874109827
49,2017-04-23,AL,73,90,3,,,,,,,,,,,,,16,0.9473263538541914,-0.32026985386283763
50,2017-04-30,AL,62,70,2,,,,,,,,,,,,,17,0.9027978299657434,-0.43006520227652056
51,2017-05-07,AL,53,52,2,,,,,,,,,,,,,18,0.8455960035018261,-0.5338233779647907
52,2017-05-14,AL,74,43,4,,,,,,,,,,,,,19,0.7765238627180424,-0.630087843581711
53,2017-05-21,AL,52,58,3,,,,,,,,,,,,,20,0.6965510290629972,-0.717507257044331
54,2017-05-28,AL,26,67,5,,,,,,,,,,,,,21,0.6068001458185932,-0.7948544414133534
55,2017-06-04,AL,34,67,3,,,,,,,,,,,,,22,0.5085311186492207,-0.8610436117673553
56,2017-06-11,AL,64,31,6,,,,,,,,,,,,,23,0.4031234292879726,-0.9151456172430182
57,2017-06-18,AL,54,66,4,,,,,,,,,,,,,24,0.29205677063697594,-0.9564009842765224
58,2017-06-25,AL,79,55,4,,,,,,,,,,,,,25,0.17689027512257316,-0.9842305779475968
59,2017-07-02,AL,53,62,3,,,,,,,,,,,,,26,0.05924062789371414,-0.9982437317643215
60,2017-07-09,AL,51,61,5,,,,,,,,,,,,,27,-0.05924062789371389,-0.9982437317643215
61,2017-07-16,AL,50,59,4,,,,,,,,,,,,,28,-0.1768902751225729,-0.9842305779475968
62,2017-07-23,AL,51,57,3,,,,,,,,,,,,,29,-0.29205677063697566,-0.9564009842765224
63,2017-07-30,AL,52,67,4,,,,,,,,,,,,,30,-0.403123429287972,-0.9151456172430186
64,2017-08-06,AL,33,56,3,,,,,,,,,,,,,31,-0.5085311186492202,-0.8610436117673557
65,2017-08-13,AL,69,66,3,,,,,,,,,,,,,32,-0.6068001458185934,-0.7948544414133533
66,2017-08-20,AL,57,41,3,,,,,,,,,,,,,33,-0.6965510290629969,-0.7175072570443312
67,2017-08-27,AL,52,55,3,,,,,,,,,,,,,34,-0.7765238627180426,-0.6300878435817109
68,2017-09-03,AL,56,61,3,,,,,,,,,,,,,35,-0.845596003501826,-0.533823377964791
69,2017-09-10,AL,66,69,3,,,,,,,,,,,,,36,-0.9027978299657435,-0.4300652022765204
70,2017-09-17,AL,61,54,4,,,,,,,,,,,,,37,-0.9473263538541913,-0.32026985386283807
71,2017-09-24,AL,48,51,3,,,,,,,,,,,,,38,-0.9785564922995039,-0.2059786187410985
72,2017-10-01,AL,82,61,3,,,,,,,,,,,,,39,-0.9960498426152169,-0.08879589532293546
73,2017-10-08,AL,64,77,3,,,,,,,,,,,,,40,-0.9995608365087943,0.02963332782255942
74,2017-10-15,AL,78,70,3,,,,,,,,,,,,,41,-0.9890401873221641,0.14764656400248038
75,2017-10-22,AL,64,57,3,,,,,,,,,,,,,42,-0.9646355819083585,0.263587166069068
76,2017-10-29,AL,81,65,3,,,,,,,,,,,,,43,-0.9266896074318335,0.375827582114238
77,2017-11-05,AL,49,42,4,,,,,,,,,,,,,44,-0.8757349421956372,0.48279220273074425
78,2017-11-12,AL,51,53,3,,,,,,,,,,,,,45,-0.8124868780056815,0.5829794791144718
79,2017-11-19,AL,36,51,2,,,,,,,,,,,,,46,-0.7378332790417279,0.6749830015182099
80,2017-11-26,AL,62,78,4,,,,,,,,,,,,,47,-0.6528221181905214,0.7575112421616202
81,2017-12-03,AL,64,53,3,,,,,,,,,,,,,48,-0.5586467658036526,0.8294056854502017
82,2017-12-10,AL,58,57,3,,,,,,,,,,,,,49,-0.45662923739371375,0.889657090994747
83,2017-12-17,AL,47,57,4,,,,,,,,,,,,,50,-0.34820163543439914,0.9374196611341208
84,2017-12-24,AL,39,40,4,,,,,,,,,,,,,51,-0.23488604578098374,0.9720229140804107
85,2017-12-31,AL,51,42,4,,,,,,,,,,,,,52,-0.11827317092136551,0.992981096013517
86,2018-01-07,AL,47,50,4,,,,,,,,,,,,,1,0.1182731709213658,0.9929810960135169
87,2018-01-14,AL,58,63,6,,,,,,,,,,,,,2,0.23488604578098368,0.9720229140804107
88,2018-01-21,AL,75,66,4,,,,,,,,,,,,,3,0.34820163543439875,0.9374196611341209
89,2018-01-28,AL,74,64,4,,,,,,,,,,,,,4,0.4566292373937131,0.8896570909947473
90,2018-02-04,AL,59,71,2,,,,,,,,,,,,,5,0.5586467658036525,0.8294056854502018
91,2018-02-11,AL,64,35,3,,,,,,,,,,,,,6,0.6528221181905216,0.7575112421616201
92,2018-02-18,AL,85,58,3,,,,,,,,,,,,,7,0.7378332790417272,0.6749830015182106
93,2018-02-25,AL,90,64,3,,,,,,,,,,,,,8,0.8124868780056813,0.5829794791144721
94,2018-03-04,AL,67,68,2,,,,,,,,,,,,,9,0.8757349421956369,0.48279220273074486
95,2018-03-11,AL,71,67,4,,,,,,,,,,,,,10,0.9266896074318334,0.3758275821142382
96,2018-03-18,AL,66,63,3,,,,,,,,,,,,,11,0.9646355819083586,0.2635871660690678
97,2018-03-25,AL,66,44,3,,,,,,,,,,,,,12,0.9890401873221639,0.14764656400248127
98,2018-04-01,AL,55,50,3,,,,,,,,,,,,,13,0.9995608365087943,0.029633327822559667
99,2018-04-08,AL,65,68,3,,,,,,,,,,,,,14,0.9960498426152169,-0.08879589532293478
100,2018-04-15,AL,80,62,3,,,,,,,,,,,,,15,0.978556492299504,-0.20597861874109827
101,2018-04-22,AL,58,67,4,,,,,,,,,,,,,16,0.9473263538541914,-0.32026985386283763
102,2018-04-29,AL,64,70,2,,,,,,,,,,,,,17,0.9027978299657434,-0.43006520227652056
103,2018-05-06,AL,68,45,3,,,,,,,,,,,,,18,0.8455960035018261,-0.5338233779647907
104,2018-05-13,AL,66,51,3,,,,,,,,,,,,,19,0.7765238627180424,-0.630087843581711
105,2018-05-20,AL,57,52,4,,,,,,,,,,,,,20,0.6965510290629972,-0.717507257044331
106,2018-05-27,AL,45,76,3,,,,,,,,,,,,,21,0.6068001458185932,-0.7948544414133534
107,2018-06-03,AL,61,80,4,,,,,,,,,,,,,22,0.5085311186492207,-0.8610436117673553
108,2018-06-10,AL,63,72,4,,,,,,,,,,,,,23,0.4031234292879726,-0.9151456172430182
109,2018-06-17,AL,65,68,2,,,,,,,,,,,,,24,0.29205677063697594,-0.9564009842765224
